song_title,composer
Yeke yeke,Miguel Wiels
Yeke yeke,Peter Gillis
Yeke yeke,Alain Vande Putte
Wat ik wil,Marc Paelinck
Wat ik wil,Ronald Buersens
Wat ik wil,Dennis Peirs
Heyah mama,Miguel Wiels
Heyah mama,Peter Gillis
Heyah mama,Alain Vande Putte
Op elkaar,Miguel Wiels
Op elkaar,Peter Gillis
Op elkaar,Alain Vande Putte
Parels,Miguel Wiels
Parels,Peter Gillis
Parels,Alain Vande Putte
I Love You Baby,Miguel Wiels
I Love You Baby,Peter Gillis
I Love You Baby,Alain Vande Putte
Ik kom tot leven,Miguel Wiels
Ik kom tot leven,Peter Gillis
Ik kom tot leven,Alain Vande Putte
Altijd van je dromen,Miguel Wiels
Altijd van je dromen,Peter Gillis
Altijd van je dromen,Alain Vande Putte
Geen tweede keer,Marc Paelinck
Geen tweede keer,Ronald Buersens
Geen tweede keer,Dennis Peirs
Zonder jou,Marc Paelinck
Zonder jou,Ronald Buersens
Zonder jou,Dennis Peirs
Oh ja,Miguel Wiels
Oh ja,Peter Gillis
Oh ja,Alain Vande Putte
Alle kleuren,Miguel Wiels
Alle kleuren,Peter Gillis
Alle kleuren,Alain Vande Putte
Hippie shake,Miguel Wiels
Hippie shake,Peter Gillis
Hippie shake,Alain Vande Putte
Yippee yippee,Miguel Wiels
Yippee yippee,Peter Gillis
Yippee yippee,Alain Vande Putte
Leonardo,Miguel Wiels
Leonardo,Peter Gillis
Leonardo,Alain Vande Putte
Oma's aan de top,Miguel Wiels
Oma's aan de top,Peter Gillis
Oma's aan de top,Alain Vande Putte
"1, 2, Doe met me mee",Miguel Wiels
"1, 2, Doe met me mee",Peter Gillis
"1, 2, Doe met me mee",Alain Vande Putte
Miljoen,Miguel Wiels
Miljoen,Peter Gillis
Miljoen,Alain Vande Putte
Laat de wind maar waaien,Miguel Wiels
Laat de wind maar waaien,Peter Gillis
Laat de wind maar waaien,Alain Vande Putte
Om te dromen,Miguel Wiels
Om te dromen,Peter Gillis
Om te dromen,Alain Vande Putte
Ik schreeuw het van de daken,Miguel Wiels
Ik schreeuw het van de daken,Peter Gillis
Ik schreeuw het van de daken,Alain Vande Putte
Jongens zijn gek!,Miguel Wiels
Jongens zijn gek!,Peter Gillis
Jongens zijn gek!,Alain Vande Putte
Doe maar,Miguel Wiels
Doe maar,Peter Gillis
Doe maar,Alain Vande Putte
