cd_title,track_number,song_title,duration
Parels,1,Yeke yeke,3:26
Parels,2,Wat ik wil,3:38
Parels,3,Heyah mama,3:21
Parels,4,Op elkaar,3:56
Parels,5,Parels,4:10
Parels,6,I Love You Baby,3:41
Parels,7,Ik kom tot leven,3:50
Parels,8,Altijd van je dromen,3:44
Parels,9,Geen tweede keer,4:13
Parels,10,Zonder jou,3:46
Parels,11,Oh ja,3:07
Alle kleuren,1,Alle kleuren,3:38
Alle kleuren,2,Hippie shake,2:32
Alle kleuren,3,Yippee yippee,3:20
Alle kleuren,4,Leonardo,3:13
Alle kleuren,5,Oma's aan de top,3:23
Alle kleuren,6,"1, 2, Doe met me mee",3:52
Alle kleuren,7,Miljoen,3:29
Alle kleuren,8,Laat de wind maar waaien,3:29
Alle kleuren,9,Om te dromen,3:52
Alle kleuren,10,Ik schreeuw het van de daken,3:26
Alle kleuren,11,Jongens zijn gek!,3:14
Alle kleuren,12,Doe maar,3:28
Tele-Romeo,1,Tele-Romeo,3:19
Tele-Romeo,2,Mama's en papa's,3:00
Tele-Romeo,3,Keileuke zomer,3:26
Tele-Romeo,4,Ali Baba,3:55
Tele-Romeo,5,Blijven staan,3:56
Tele-Romeo,6,Je hebt een vriend,3:25
Tele-Romeo,7,Baby Come Back,3:35
Tele-Romeo,8,Chacha loco,3:33
Tele-Romeo,9,Hand in hand,4:04
Tele-Romeo,10,Jupiter,3:46
Tele-Romeo,11,Honingbeer,3:52
Tele-Romeo,12,Iedereen is anders,3:41
